Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06001401100","14000US06001401100","Census Tract 4011","Census Tract 4011, Alameda County, California","ca","140","00","ACSSF","0002709",,,,,"06","001",,,,"401100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043,48,54,70,44,81,17,95,28,130,143,135,344,300,135,144,275,2.35,2.64,3.43,2.15,3.96,0.83,4.65,1.37,6.36,7,6.61,16.84,14.68,6.61,7.05,13.46
"06001401200","14000US06001401200","Census Tract 4012","Census Tract 4012, Alameda County, California","ca","140","00","ACSSF","0002710",,,,,"06","001",,,,"401200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,29,23,27,30,66,29,16,41,39,88,111,108,104,140,188,191,2.36,1.87,2.2,2.44,5.37,2.36,1.3,3.33,3.17,7.15,9.02,8.78,8.46,11.38,15.28,15.53
"06001401300","14000US06001401300","Census Tract 4013","Census Tract 4013, Alameda County, California","ca","140","00","ACSSF","0002711",,,,,"06","001",,,,"401300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,138,198,50,97,158,120,68,83,51,99,172,97,83,114,122,154,7.65,10.98,2.77,5.38,8.76,6.65,3.77,4.6,2.83,5.49,9.53,5.38,4.6,6.32,6.76,8.54
"06001401400","14000US06001401400","Census Tract 4014","Census Tract 4014, Alameda County, California","ca","140","00","ACSSF","0002712",,,,,"06","001",,,,"401400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576,139,156,87,156,103,115,38,82,90,96,46,161,103,64,3,137,8.82,9.9,5.52,9.9,6.54,7.3,2.41,5.2,5.71,6.09,2.92,10.22,6.54,4.06,0.19,8.69
"06001401500","14000US06001401500","Census Tract 4015","Census Tract 4015, Alameda County, California","ca","140","00","ACSSF","0002713",,,,,"06","001",,,,"401500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,102,185,74,18,17,19,5,12,40,59,85,127,110,85,67,75,9.44,17.13,6.85,1.67,1.57,1.76,0.46,1.11,3.7,5.46,7.87,11.76,10.19,7.87,6.2,6.94
"06001401600","14000US06001401600","Census Tract 4016","Census Tract 4016, Alameda County, California","ca","140","00","ACSSF","0002714",,,,,"06","001",,,,"401600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,50,108,50,53,13,47,20,25,48,50,89,80,56,29,66,84,5.76,12.44,5.76,6.11,1.5,5.41,2.3,2.88,5.53,5.76,10.25,9.22,6.45,3.34,7.6,9.68
"06001401700","14000US06001401700","Census Tract 4017","Census Tract 4017, Alameda County, California","ca","140","00","ACSSF","0002715",,,,,"06","001",,,,"401700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,87,76,26,25,26,32,20,5,41,82,95,130,146,175,161,162,6.75,5.9,2.02,1.94,2.02,2.48,1.55,0.39,3.18,6.36,7.37,10.09,11.33,13.58,12.49,12.57
"06001401800","14000US06001401800","Census Tract 4018","Census Tract 4018, Alameda County, California","ca","140","00","ACSSF","0002716",,,,,"06","001",,,,"401800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,49,72,39,47,38,19,25,0,8,48,98,74,88,44,24,39,6.88,10.11,5.48,6.6,5.34,2.67,3.51,0,1.12,6.74,13.76,10.39,12.36,6.18,3.37,5.48
"06001402200","14000US06001402200","Census Tract 4022","Census Tract 4022, Alameda County, California","ca","140","00","ACSSF","0002717",,,,,"06","001",,,,"402200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,55,88,49,28,8,57,19,15,67,50,92,97,54,33,64,79,6.43,10.29,5.73,3.27,0.94,6.67,2.22,1.75,7.84,5.85,10.76,11.35,6.32,3.86,7.49,9.24
"06001402400","14000US06001402400","Census Tract 4024","Census Tract 4024, Alameda County, California","ca","140","00","ACSSF","0002718",,,,,"06","001",,,,"402400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209,75,183,72,108,32,54,77,49,28,60,96,60,79,86,30,120,6.2,15.14,5.96,8.93,2.65,4.47,6.37,4.05,2.32,4.96,7.94,4.96,6.53,7.11,2.48,9.93
"06001402500","14000US06001402500","Census Tract 4025","Census Tract 4025, Alameda County, California","ca","140","00","ACSSF","0002719",,,,,"06","001",,,,"402500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,151,59,128,40,23,58,44,11,14,44,33,40,18,21,10,14,21.33,8.33,18.08,5.65,3.25,8.19,6.21,1.55,1.98,6.21,4.66,5.65,2.54,2.97,1.41,1.98
"06001402600","14000US06001402600","Census Tract 4026","Census Tract 4026, Alameda County, California","ca","140","00","ACSSF","0002720",,,,,"06","001",,,,"402600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,103,132,46,49,35,20,9,35,9,39,32,41,19,20,25,4,16.67,21.36,7.44,7.93,5.66,3.24,1.46,5.66,1.46,6.31,5.18,6.63,3.07,3.24,4.05,0.65
"06001402700","14000US06001402700","Census Tract 4027","Census Tract 4027, Alameda County, California","ca","140","00","ACSSF","0002721",,,,,"06","001",,,,"402700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,23,64,36,0,20,17,20,26,17,58,20,95,54,85,83,64,3.37,9.38,5.28,0,2.93,2.49,2.93,3.81,2.49,8.5,2.93,13.93,7.92,12.46,12.17,9.38
"06001402800","14000US06001402800","Census Tract 4028","Census Tract 4028, Alameda County, California","ca","140","00","ACSSF","0002722",,,,,"06","001",,,,"402800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607,195,684,123,48,36,68,47,99,16,115,52,210,114,162,149,489,7.48,26.24,4.72,1.84,1.38,2.61,1.8,3.8,0.61,4.41,1.99,8.06,4.37,6.21,5.72,18.76
"06001402900","14000US06001402900","Census Tract 4029","Census Tract 4029, Alameda County, California","ca","140","00","ACSSF","0002723",,,,,"06","001",,,,"402900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,73,152,102,63,34,45,61,24,35,30,73,92,19,27,35,34,8.12,16.91,11.35,7.01,3.78,5.01,6.79,2.67,3.89,3.34,8.12,10.23,2.11,3,3.89,3.78
"06001403000","14000US06001403000","Census Tract 4030","Census Tract 4030, Alameda County, California","ca","140","00","ACSSF","0002724",,,,,"06","001",,,,"403000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463,188,285,193,72,136,75,84,0,11,20,60,57,103,56,53,70,12.85,19.48,13.19,4.92,9.3,5.13,5.74,0,0.75,1.37,4.1,3.9,7.04,3.83,3.62,4.78
"06001403100","14000US06001403100","Census Tract 4031","Census Tract 4031, Alameda County, California","ca","140","00","ACSSF","0002725",,,,,"06","001",,,,"403100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,41,118,57,16,19,15,0,7,6,32,32,68,64,64,56,43,6.43,18.5,8.93,2.51,2.98,2.35,0,1.1,0.94,5.02,5.02,10.66,10.03,10.03,8.78,6.74
"06001403300","14000US06001403300","Census Tract 4033","Census Tract 4033, Alameda County, California","ca","140","00","ACSSF","0002726",,,,,"06","001",,,,"403300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141,205,189,166,100,0,121,113,0,40,162,80,200,83,166,223,293,9.57,8.83,7.75,4.67,0,5.65,5.28,0,1.87,7.57,3.74,9.34,3.88,7.75,10.42,13.69
"06001403400","14000US06001403400","Census Tract 4034","Census Tract 4034, Alameda County, California","ca","140","00","ACSSF","0002727",,,,,"06","001",,,,"403400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2857,134,235,73,142,90,85,111,27,107,245,365,393,283,85,197,285,4.69,8.23,2.56,4.97,3.15,2.98,3.89,0.95,3.75,8.58,12.78,13.76,9.91,2.98,6.9,9.98
"06001403501","14000US06001403501","Census Tract 4035.01","Census Tract 4035.01, Alameda County, California","ca","140","00","ACSSF","0002728",,,,,"06","001",,,,"403501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2723,228,300,215,213,145,75,136,51,51,280,176,180,99,228,191,155,8.37,11.02,7.9,7.82,5.33,2.75,4.99,1.87,1.87,10.28,6.46,6.61,3.64,8.37,7.01,5.69
"06001403502","14000US06001403502","Census Tract 4035.02","Census Tract 4035.02, Alameda County, California","ca","140","00","ACSSF","0002729",,,,,"06","001",,,,"403502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152,72,14,37,46,32,53,55,28,20,137,121,202,65,55,151,64,6.25,1.22,3.21,3.99,2.78,4.6,4.77,2.43,1.74,11.89,10.5,17.53,5.64,4.77,13.11,5.56
"06001403600","14000US06001403600","Census Tract 4036","Census Tract 4036, Alameda County, California","ca","140","00","ACSSF","0002730",,,,,"06","001",,,,"403600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2578,95,56,23,47,102,132,84,65,181,246,247,311,441,206,175,167,3.69,2.17,0.89,1.82,3.96,5.12,3.26,2.52,7.02,9.54,9.58,12.06,17.11,7.99,6.79,6.48
"06001403701","14000US06001403701","Census Tract 4037.01","Census Tract 4037.01, Alameda County, California","ca","140","00","ACSSF","0002731",,,,,"06","001",,,,"403701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767,120,96,42,60,33,56,79,25,61,94,213,222,285,155,129,97,6.79,5.43,2.38,3.4,1.87,3.17,4.47,1.41,3.45,5.32,12.05,12.56,16.13,8.77,7.3,5.49
"06001403702","14000US06001403702","Census Tract 4037.02","Census Tract 4037.02, Alameda County, California","ca","140","00","ACSSF","0002732",,,,,"06","001",,,,"403702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,54,43,0,0,22,42,76,11,6,106,60,189,62,156,141,123,4.95,3.94,0,0,2.02,3.85,6.97,1.01,0.55,9.72,5.5,17.32,5.68,14.3,12.92,11.27
"06001403800","14000US06001403800","Census Tract 4038","Census Tract 4038, Alameda County, California","ca","140","00","ACSSF","0002733",,,,,"06","001",,,,"403800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826,86,11,0,62,39,21,78,23,40,106,172,270,229,148,152,389,4.71,0.6,0,3.4,2.14,1.15,4.27,1.26,2.19,5.81,9.42,14.79,12.54,8.11,8.32,21.3
"06001403900","14000US06001403900","Census Tract 4039","Census Tract 4039, Alameda County, California","ca","140","00","ACSSF","0002734",,,,,"06","001",,,,"403900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143,49,79,23,94,0,202,73,16,102,91,171,348,256,170,247,222,2.29,3.69,1.07,4.39,0,9.43,3.41,0.75,4.76,4.25,7.98,16.24,11.95,7.93,11.53,10.36
"06001404000","14000US06001404000","Census Tract 4040","Census Tract 4040, Alameda County, California","ca","140","00","ACSSF","0002735",,,,,"06","001",,,,"404000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691,70,34,14,17,29,91,27,45,73,69,254,282,230,182,156,118,4.14,2.01,0.83,1.01,1.71,5.38,1.6,2.66,4.32,4.08,15.02,16.68,13.6,10.76,9.23,6.98
"06001404101","14000US06001404101","Census Tract 4041.01","Census Tract 4041.01, Alameda County, California","ca","140","00","ACSSF","0002736",,,,,"06","001",,,,"404101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,99,57,9,7,41,103,29,28,34,78,207,212,200,138,236,232,5.79,3.33,0.53,0.41,2.4,6.02,1.7,1.64,1.99,4.56,12.11,12.4,11.7,8.07,13.8,13.57
"06001404102","14000US06001404102","Census Tract 4041.02","Census Tract 4041.02, Alameda County, California","ca","140","00","ACSSF","0002737",,,,,"06","001",,,,"404102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591,97,101,95,75,38,22,48,14,27,98,125,195,166,115,80,295,6.1,6.35,5.97,4.71,2.39,1.38,3.02,0.88,1.7,6.16,7.86,12.26,10.43,7.23,5.03,18.54
"06001404200","14000US06001404200","Census Tract 4042","Census Tract 4042, Alameda County, California","ca","140","00","ACSSF","0002738",,,,,"06","001",,,,"404200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,37,15,17,7,16,7,14,45,9,25,62,111,66,121,185,591,2.79,1.13,1.28,0.53,1.2,0.53,1.05,3.39,0.68,1.88,4.67,8.36,4.97,9.11,13.93,44.5
"06001404300","14000US06001404300","Census Tract 4043","Census Tract 4043, Alameda County, California","ca","140","00","ACSSF","0002739",,,,,"06","001",,,,"404300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283,18,17,0,0,9,28,0,8,46,21,96,29,53,17,231,710,1.4,1.33,0,0,0.7,2.18,0,0.62,3.59,1.64,7.48,2.26,4.13,1.33,18,55.34
"06001404400","14000US06001404400","Census Tract 4044","Census Tract 4044, Alameda County, California","ca","140","00","ACSSF","0002740",,,,,"06","001",,,,"404400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,59,26,27,81,35,0,64,25,24,50,138,158,274,144,248,968,2.54,1.12,1.16,3.49,1.51,0,2.76,1.08,1.03,2.15,5.95,6.81,11.81,6.2,10.69,41.71
"06001404501","14000US06001404501","Census Tract 4045.01","Census Tract 4045.01, Alameda County, California","ca","140","00","ACSSF","0002741",,,,,"06","001",,,,"404501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,0,6,12,0,9,0,4,0,0,37,42,39,54,52,100,324,0,0.88,1.77,0,1.33,0,0.59,0,0,5.45,6.19,5.74,7.95,7.66,14.73,47.72
"06001404502","14000US06001404502","Census Tract 4045.02","Census Tract 4045.02, Alameda County, California","ca","140","00","ACSSF","0002742",,,,,"06","001",,,,"404502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483,17,0,0,0,18,35,32,43,46,105,97,270,146,151,557,966,0.68,0,0,0,0.72,1.41,1.29,1.73,1.85,4.23,3.91,10.87,5.88,6.08,22.43,38.9
"06001404600","14000US06001404600","Census Tract 4046","Census Tract 4046, Alameda County, California","ca","140","00","ACSSF","0002743",,,,,"06","001",,,,"404600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784,10,0,13,27,0,0,59,55,42,23,50,179,94,212,307,713,0.56,0,0.73,1.51,0,0,3.31,3.08,2.35,1.29,2.8,10.03,5.27,11.88,17.21,39.97
"06001404700","14000US06001404700","Census Tract 4047","Census Tract 4047, Alameda County, California","ca","140","00","ACSSF","0002744",,,,,"06","001",,,,"404700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,14,13,6,6,0,0,17,7,5,21,29,38,48,64,197,325,1.77,1.65,0.76,0.76,0,0,2.15,0.89,0.63,2.66,3.67,4.81,6.08,8.1,24.94,41.14
"06001404800","14000US06001404800","Census Tract 4048","Census Tract 4048, Alameda County, California","ca","140","00","ACSSF","0002745",,,,,"06","001",,,,"404800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203,77,52,18,0,42,79,16,22,23,88,127,128,121,74,112,224,6.4,4.32,1.5,0,3.49,6.57,1.33,1.83,1.91,7.32,10.56,10.64,10.06,6.15,9.31,18.62
"06001404900","14000US06001404900","Census Tract 4049","Census Tract 4049, Alameda County, California","ca","140","00","ACSSF","0002746",,,,,"06","001",,,,"404900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874,45,85,57,58,51,72,56,54,16,10,123,156,280,183,226,402,2.4,4.54,3.04,3.09,2.72,3.84,2.99,2.88,0.85,0.53,6.56,8.32,14.94,9.77,12.06,21.45
"06001405000","14000US06001405000","Census Tract 4050","Census Tract 4050, Alameda County, California","ca","140","00","ACSSF","0002747",,,,,"06","001",,,,"405000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457,70,50,26,0,15,51,32,16,8,52,62,103,106,128,248,490,4.8,3.43,1.78,0,1.03,3.5,2.2,1.1,0.55,3.57,4.26,7.07,7.28,8.79,17.02,33.63
"06001405100","14000US06001405100","Census Tract 4051","Census Tract 4051, Alameda County, California","ca","140","00","ACSSF","0002748",,,,,"06","001",,,,"405100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602,27,0,13,9,24,0,16,26,34,26,74,121,99,131,187,815,1.69,0,0.81,0.56,1.5,0,1,1.62,2.12,1.62,4.62,7.55,6.18,8.18,11.67,50.87
"06001405200","14000US06001405200","Census Tract 4052","Census Tract 4052, Alameda County, California","ca","140","00","ACSSF","0002749",,,,,"06","001",,,,"405200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427,78,120,119,56,135,76,48,10,64,163,187,344,284,230,213,300,3.21,4.94,4.9,2.31,5.56,3.13,1.98,0.41,2.64,6.72,7.7,14.17,11.7,9.48,8.78,12.36
"06001405301","14000US06001405301","Census Tract 4053.01","Census Tract 4053.01, Alameda County, California","ca","140","00","ACSSF","0002750",,,,,"06","001",,,,"405301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,87,112,34,7,64,62,75,52,85,104,197,125,190,85,108,197,5.49,7.07,2.15,0.44,4.04,3.91,4.73,3.28,5.37,6.57,12.44,7.89,11.99,5.37,6.82,12.44
"06001405302","14000US06001405302","Census Tract 4053.02","Census Tract 4053.02, Alameda County, California","ca","140","00","ACSSF","0002751",,,,,"06","001",,,,"405302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401,90,152,110,136,92,48,22,95,43,59,71,176,133,29,65,80,6.42,10.85,7.85,9.71,6.57,3.43,1.57,6.78,3.07,4.21,5.07,12.56,9.49,2.07,4.64,5.71
"06001405401","14000US06001405401","Census Tract 4054.01","Census Tract 4054.01, Alameda County, California","ca","140","00","ACSSF","0002752",,,,,"06","001",,,,"405401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,123,189,47,97,108,67,56,25,118,214,243,297,68,24,34,20,7.11,10.92,2.72,5.61,6.24,3.87,3.24,1.45,6.82,12.37,14.05,17.17,3.93,1.39,1.97,1.16
"06001405402","14000US06001405402","Census Tract 4054.02","Census Tract 4054.02, Alameda County, California","ca","140","00","ACSSF","0002753",,,,,"06","001",,,,"405402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,69,81,131,45,44,65,34,62,31,127,86,199,126,21,18,28,5.91,6.94,11.23,3.86,3.77,5.57,2.91,5.31,2.66,10.88,7.37,17.05,10.8,1.8,1.54,2.4
"06001405500","14000US06001405500","Census Tract 4055","Census Tract 4055, Alameda County, California","ca","140","00","ACSSF","0002754",,,,,"06","001",,,,"405500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,41,113,47,112,84,40,43,16,43,251,121,97,158,126,213,52,2.63,7.26,3.02,7.19,5.39,2.57,2.76,1.03,2.76,16.12,7.77,6.23,10.15,8.09,13.68,3.34
"06001405600","14000US06001405600","Census Tract 4056","Census Tract 4056, Alameda County, California","ca","140","00","ACSSF","0002755",,,,,"06","001",,,,"405600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409,84,40,118,0,68,24,67,106,54,120,106,100,205,98,145,74,5.96,2.84,8.37,0,4.83,1.7,4.76,7.52,3.83,8.52,7.52,7.1,14.55,6.96,10.29,5.25
"06001405700","14000US06001405700","Census Tract 4057","Census Tract 4057, Alameda County, California","ca","140","00","ACSSF","0002756",,,,,"06","001",,,,"405700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,76,70,118,79,19,84,35,57,94,111,182,180,41,91,54,49,5.67,5.22,8.81,5.9,1.42,6.27,2.61,4.25,7.01,8.28,13.58,13.43,3.06,6.79,4.03,3.66
"06001405800","14000US06001405800","Census Tract 4058","Census Tract 4058, Alameda County, California","ca","140","00","ACSSF","0002757",,,,,"06","001",,,,"405800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,118,82,50,71,87,94,81,15,100,71,175,97,110,94,63,43,8.73,6.07,3.7,5.26,6.44,6.96,6,1.11,7.4,5.26,12.95,7.18,8.14,6.96,4.66,3.18
